topic,question,options,answer
movie_trivia,Who among the following invented the cinematograph?,"['Lumiere Brothers', 'Mani Sethna', 'Dada Saheb Phalke', 'Dhirendra Nath Ganguly']",Lumiere Brothers
movie_trivia,Where was the first cinema demonstrated in India?,"['Hindi Theatre at Kolkata', ' Bombay (Now Mumbai) at Watkins Hotel', 'Athenaeeum and Chaurang Theatre', 'Laffed Faire']", Bombay (Now Mumbai) at Watkins Hotel
movie_trivia,Who among the following made first Film Theatre of India?,"['Lumiere Brothers', 'Mani Sethna', 'Dada Saheb Phalke', 'Dhirendra Nath Ganguly']",Mani Sethna
movie_trivia,Which of the following the first foreign film was demonstrated in India?,"['Magic Lamp', 'Arrival of the train', 'Life of Christ', 'Sea Birth']",Life of Christ
movie_trivia,Who among the following made the first fully indigenous silent feature film in India?,"['Lumiere Brothers', 'Mani Sethna', 'Dhirendra Nath Ganguly', 'Dada Saheb Phalke']",Dada Saheb Phalke
movie_trivia,Who among the following was the first Indian woman producer and director in Indian cinema?,"['Fatima Begum', 'WM Khan', 'Alam Ara', 'Ardeshir Irani']",Fatima Begum
movie_trivia,Which was the first India's talkie film?,"['Alam Ara', 'Pundlik', 'Raja Harishchandra', 'Nal Damayanti']",Alam Ara
movie_trivia,Who among the following is known as 'Father of Indian Cinema'?,"['Dhundhi Raj Govind Phalke', ' Dada Sheb Phalke', 'Both A and B', 'Mani Sethna']",Both A and B
movie_trivia,Which of the following regional cinema referred to as Kollywood?,"['Punjabi Cinema', 'Tamil Cinema', 'Marathi Cinema', 'Malayalam Cinema']",Tamil Cinema
movie_trivia,"Which of the following was the first made indigenous, coloured film of India?","['Alama Ara', 'Pather Panchali', 'Kisan Kanya', 'Devdas']",Kisan Kanya
