topic,question,options,answer
general_knowledge,"Eritrea, which became th 182nd member of the UN in 1993, is in the continent of","['Asia', 'Africa', 'Europe', 'Australia']",Africa
general_knowledge,The Battle of Plassey was fought in ,"['1757', '1782', '1748', '1764']",1757
general_knowledge,Tripitakas are sacred books of ,"['Buddhists', 'Hindus', 'Jains', 'None of the above']",Buddhists
general_knowledge,Which of the following is used in pencils?,"['Graphite', 'Silicon', 'Charchol', 'Phosphorous']",Graphite
general_knowledge,Who is the father of Geometry?,"['Aristole', 'Pythagoras', 'Euclid', 'Kepler']",Euclid
general_knowledge,Who is known as Iron Man of INDIA?,"['Govind Ballabh Pant', 'Jawaharlal Nehru', 'Subhash Chandra Bose', 'Sardar Vallabhbhai Patel']",Sardar Vallabhbhai Patel
general_knowledge,Jude Felix is a famous Indian player in which of the fields?,"['Volleyball', 'Tennis', 'Football', 'Hockey']",Hockey
general_knowledge,The power to decide an election petition is vested in the,"['Parliament', 'Supreme Court', 'High Courts', 'Election Commission']",High Courts
general_knowledge,The Centre for Cellular and Molecular Biology is situated at,"['Patna', 'Jaipur', 'Hyderabad', 'Varanasi']",Hyderabad
general_knowledge,Wadia Institute of Himalayan Geology is located at,"['Delhi', 'Dehradun', 'Kulu', 'Shimla']",Dehradun
